abdominals,abs
administration,admin
administrative,admin
advertisement,ad
airplane,plane
aeroplane,plane
alcoholic,alky
alligator,gator
alumnus,alum
ampere,amp
amplifier,amp
ammunition,ammo
anchorman,anchor
anchorwoman,anchor
application,app
agriculture,ag
agricultural,ag
art deco,deco
aquamarine,aqua
Australian,Aussie
automobile,auto
barbecue,barbie
bathroom,bath
beauty,beaut
bicycle,bike
billy goat,billy
biography,bio
biology,bio
bisexual,bi
blitzkreig,blitz
boatswain,bosun
body,bod
bombard,bomb
bookmaker,bookie
brassiere,bra
bridegroom,groom
brigantine,brig
brilliant,brill
British,Brit
bronco,bronc
brother,bro
bubblegum,gum
buddy,bud
budgerigar,budgie
business,biz
buttocks,butt
camera,cam
camouflage,camo
capital letters,caps
capitalization,cap
caravan,van
carbohydrates,carbs
cardiovascular,cardio
celebrity,celeb
chairperson,chair
chairman,chair
chairwoman,chair
champion,champ
chaparajos,chaps
chemotherapy,chemo
chimpanzee,chimp
Christmas,Xmas
chrysanthemum,mum
cigarette,cig
cocaine,coke
cockroach,roach
co-educational,coed
collaboration,collab
combination,combo
compensation,comp
condominium,condo
congratulations,congrats
consultation,consult
contact lenses,contacts
conversation,convo
convict,con
cooperative,co-op
cousin,cuz
coxswain,cox
credibility,cred
crocodile,croc
cucumber,cuke
daddy,dad
decaffeinated,decaf
debutante,deb
defragment,defrag
delicatessen,deli
delicious,delish
deltoids,delts
demolition,demo
demonstration,demo
details,deets
detoxification,detox
difference,diff
dinosaur,dino
discotheque,disco
disrespect,dis
distillery,still
doctor,doc
document,doc
dormitory,dorm
duplicate,dupe
earthquake,quake
electronic mail,email
evening,eve
examination,exam
executive,exec
exposition,expo
eyebrow,brow
fabrication,fab
fabulous,fab
favorite,fav
facsimile,fax
federal,fed
fellow,fella
foreign exchange,forex
fountain,fount
frankfurter,frank
fraternity,frat
French fries,fries
freshman,frosh
garfish,gar
gasoline,gas
gemstone,gem
generation,gen
gentleman,gent
gigabyte,gig
gladiolus,glad
gluteus maximus,glutes
graduate,grad
grandfather,grandpa
grandmother,granny
grandma,granny
guacamole,guac
gymnasium,gym
hamburger,burger
handkerchief,hanky
helicopter,copter
heterosexual,hetero
high fidelity,hi-fi
hippopotamus,hippo
homosexual,homo
hoodlum,hood
hyperactive,hyper
identification,ID
independent,indie
inflammable,flammable
influenza,flu
information,info
intelligence,intel
internet,net
introduction,intro
jockstrap,jock
kangaroo,roo
kilogram,kilo
kilometer,klick
kleptomaniac,klepto
knickerbockers,knickers
laboratory,lab
Labrador retriever,lab
latissimus,lats
lavatory,lav
lawsuit,suit
legitimate,legit
liberation,lib
light,lite
literature,lit
limousine,limo
logarithm,log
logotype,logo
lubricate,lube
macaroni,mac
machismo,macho
magazine,mag
mama,ma
market,mart
mathematics,math
maximum,max
mayonnaise,mayo
medical,med
medications,meds
megabyte,meg
memorandum,memo
methamphetamine,meth
merchandise,merch
metropolitan,metro
microphone,mic
midshipman,middy
military operations,ops
million,mil
mittens,mitts
modern,mod
modification,mod
momma,mom
mommy,mom
moment,mo
mononucleosis,mono
monophonic,mono
motorcycle,bike
narcotics agent,narc
naturally,natch
necktie,tie
neoconservative,neocon
newspaper,paper
night,nite
nitroglycerine,nitro
noncommissioned officer,noncom
nuclear weapon,nuke
nymphomaniac,nympho
okay,OK
omnibus,bus
operation,op
opossum,possum
orangutan,orang
organization or organizational,org
pajamas,pj's
papa,pa
pantaloons,pants
parachute,chute
pectorals,pecs
penitentiary,pen
people,peeps
perambulator,pram (British)
percolate,perk
periwig,wig
permanent,perm
perpetrator,perp
perquisite,perk
pervert,perv
petroleum,petrol
photograph,photo
pianoforte,piano
picture,pic
piezoelectric,piezo
pharmaceutical company,pharma
phenomenon,phenom
phonograph,phono
plebeian,pleb
politician,pol
poliomyelitis,polio
polyester,poly
popular,pop
pornography,porn
postgraduate,postgrad
prefabricate,prefab
prefabricated,prefab
preliminary,prelim
prenuptial agreement,prenup
prepare,prep
preporatory,prep
preparation,prep
professional,pro
professor,prof
proletariat,prole
promenade,prom
promotion,promo
psychology,psych
psychopath,psycho
public house,pub
pugilist,pug
puppy,pup
pyromaniac,pyro
quadrangle,quad
quadriceps,quads
guacamole,quac
quintuplet,quint
quotation,quote
quotation marks,quotes
racoon,coon
rastafarian,Rasta
recapitulation,recap
reconnaissance,recon
recreation,rec
referee,ref
refinance,refi
refrigerator,fridge
regulations,regs
rehabilitation,rehab
repetitions,reps
repossession,repo
reprossessed,repo
representative,rep
reproduction,repro
reputation,rep
reverberation,reverb
revolution,rev
rhinoceros,rhino
robot,bot
roommate,roomie
rucksack,ruck
saxophone,sax
schizophrenic,schizo
scrummage,scrum
second,sec
semifinal,semi
sergeant,sarge
signal,sign
simulation,sim
sister,sis
slow motion,slo-mo
sophomore,soph
spatterdashes,spats
specification,spec
spectacles,specs
speculation,spec
staphylococcus,staph
statistics,stats
stenographer,steno
stenography,steno
stereophonic,stereo
streptococcus,strep
submarine,sub
substitute,sub
suburbs,burbs
summarize,sum
summation,sum
sweatsuit,sweats
sweatpants,sweats
synchronize,sync
synchronization,sync
synthesizer,synth
tabulate,tab
tachometer,tach
tangent,tan
tarpaulin,tarp
tattoo,tat
taxicab,cab
taxi,cab
technical,tech
technology,tech
teddy bear,teddy
teenager,teen
telephone,phone
television,TV
telly,TV
temperature,temp
temporary,temp
terminology,terms
through,thru
transmission,tranny
trigonometry,trig
turnpike,pike
tuxedo,tux
typographical error,typo
ukulele,uke
umpire,ump
underwear,undies
university,uni
vacation,vacay
vacuum cleaner,vac
vegetable,veggie
vegetate,veg
veteran,vet
veterinarian,vet
vibration,vibe
video,vid
vice president,veep
violoncello,cello
weblog,blog
website,site
wizard,wiz
Yankee,Yank
zip code,zip
zoological garden,zoo
